,Country,Year,Fertility,Life expectancy,Population,Group,ID
0,Afghanistan,1964.0,7.671,33.639,10474903.0,South Asia,AF
1,Afghanistan,1965.0,7.671,34.152,10697983.0,South Asia,AF
2,Afghanistan,1966.0,7.671,34.662,10927724.0,South Asia,AF
3,Afghanistan,1967.0,7.671,35.17,11163656.0,South Asia,AF
4,Afghanistan,1968.0,7.671,35.674,11411022.0,South Asia,AF
5,Afghanistan,1969.0,7.671,36.172,11676990.0,South Asia,AF
6,Afghanistan,1970.0,7.671,36.663000000000004,11964906.0,South Asia,AF
7,Afghanistan,1971.0,7.671,37.143,12273101.0,South Asia,AF
8,Afghanistan,1972.0,7.671,37.614000000000004,12593688.0,South Asia,AF
9,Afghanistan,1973.0,7.671,38.075,12915499.0,South Asia,AF
10,Afghanistan,1974.0,7.671,38.529,13223928.0,South Asia,AF
11,Afghanistan,1975.0,7.671,38.977,13505544.0,South Asia,AF
12,Afghanistan,1976.0,7.67,39.417,13766792.0,South Asia,AF
13,Afghanistan,1977.0,7.67,39.855,14003408.0,South Asia,AF
14,Afghanistan,1978.0,7.67,40.298,14179656.0,South Asia,AF
15,Afghanistan,1979.0,7.669,40.756,14249493.0,South Asia,AF
16,Afghanistan,1980.0,7.669,41.242,14185729.0,South Asia,AF
17,Afghanistan,1981.0,7.67,41.77,13984092.0,South Asia,AF
18,Afghanistan,1982.0,7.671,42.347,13672870.0,South Asia,AF
19,Afghanistan,1983.0,7.672999999999999,42.977,13300056.0,South Asia,AF
20,Afghanistan,1984.0,7.676,43.661,12931791.0,South Asia,AF
21,Afghanistan,1985.0,7.678999999999999,44.4,12625292.0,South Asia,AF
22,Afghanistan,1986.0,7.681,45.192,12372113.0,South Asia,AF
23,Afghanistan,1987.0,7.682,46.023999999999994,12183387.0,South Asia,AF
24,Afghanistan,1988.0,7.682,46.88,12156685.0,South Asia,AF
25,Afghanistan,1989.0,7.682,47.744,12414686.0,South Asia,AF
26,Afghanistan,1990.0,7.687,48.601000000000006,13032161.0,South Asia,AF
27,Afghanistan,1991.0,7.7,49.43899999999999,14069854.0,South Asia,AF
28,Afghanistan,1992.0,7.725,50.247,15472076.0,South Asia,AF
29,Afghanistan,1993.0,7.757999999999999,51.016999999999996,17053213.0,South Asia,AF
30,Afghanistan,1994.0,7.796,51.738,18553819.0,South Asia,AF
31,Afghanistan,1995.0,7.832000000000001,52.4,19789880.0,South Asia,AF
32,Afghanistan,1996.0,7.859,52.995,20684982.0,South Asia,AF
33,Afghanistan,1997.0,7.869,53.527,21299350.0,South Asia,AF
34,Afghanistan,1998.0,7.854,54.00899999999999,21752257.0,South Asia,AF
35,Afghanistan,1999.0,7.809,54.449,22227543.0,South Asia,AF
36,Afghanistan,2000.0,7.733,54.863,22856302.0,South Asia,AF
37,Afghanistan,2001.0,7.622999999999999,55.271,23677385.0,South Asia,AF
38,Afghanistan,2002.0,7.484,55.687,24639841.0,South Asia,AF
39,Afghanistan,2003.0,7.321000000000001,56.122,25678639.0,South Asia,AF
40,Afghanistan,2004.0,7.136,56.583,26693486.0,South Asia,AF
41,Afghanistan,2005.0,6.93,57.071000000000005,27614718.0,South Asia,AF
42,Afghanistan,2006.0,6.702000000000001,57.582,28420974.0,South Asia,AF
43,Afghanistan,2007.0,6.456,58.102,29145841.0,South Asia,AF
44,Afghanistan,2008.0,6.196000000000001,58.618,29839994.0,South Asia,AF
45,Afghanistan,2009.0,5.928,59.123999999999995,30577756.0,South Asia,AF
46,Afghanistan,2010.0,5.659,59.611999999999995,31411743.0,South Asia,AF
47,Afghanistan,2011.0,5.395,60.07899999999999,32358260.0,South Asia,AF
48,Afghanistan,2012.0,5.141,60.523999999999994,33397058.0,South Asia,AF
49,Afghanistan,2013.0,4.9,60.946999999999996,34499915.0,South Asia,AF
50,Albania,1964.0,5.711,65.475,1817098.0,Europe & Central Asia,AL
51,Albania,1965.0,5.593999999999999,65.863,1869942.0,Europe & Central Asia,AL
52,Albania,1966.0,5.483,66.122,1922993.0,Europe & Central Asia,AL
53,Albania,1967.0,5.376,66.316,1976140.0,Europe & Central Asia,AL
54,Albania,1968.0,5.268,66.5,2029314.0,Europe & Central Asia,AL
55,Albania,1969.0,5.16,66.702,2082474.0,Europe & Central Asia,AL
56,Albania,1970.0,5.05,66.94800000000001,2135599.0,Europe & Central Asia,AL
57,Albania,1971.0,4.933,67.251,2188650.0,Europe & Central Asia,AL
58,Albania,1972.0,4.809,67.595,2241623.0,Europe & Central Asia,AL
59,Albania,1973.0,4.677,67.96600000000001,2294578.0,Europe & Central Asia,AL
60,Albania,1974.0,4.538,68.35600000000001,2347607.0,Europe & Central Asia,AL
61,Albania,1975.0,4.393,68.748,2400801.0,Europe & Central Asia,AL
62,Albania,1976.0,4.244,69.12100000000001,2454255.0,Europe & Central Asia,AL
63,Albania,1977.0,4.093999999999999,69.459,2508026.0,Europe & Central Asia,AL
64,Albania,1978.0,3.947,69.753,2562121.0,Europe & Central Asia,AL
65,Albania,1979.0,3.807,70.001,2616530.0,Europe & Central Asia,AL
66,Albania,1980.0,3.678,70.218,2671300.0,Europe & Central Asia,AL
67,Albania,1981.0,3.562,70.426,2725029.0,Europe & Central Asia,AL
